accident_month,dev_0,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,,,,,,,,,,,,,
2022-04-30 16:00:00+00:00,10939.97,30505.41,41884.29,58254.9,83714.34,111930.48,139585.03,172575.02,186511.05,224686.93,263474.92,297784.52,,,382806442.4,129478910.1,267996871.8,648183085.1,796150556.5,764774135.7,1088339440,194212932.2,1457397814,1504508168,1177148652
2022-05-31 16:00:00+00:00,10114.51,22747.93,36188.72,58352.52,89934.95,111605.18,137715.84,152447.38,175620.91,223085.2,242098.45,271068.78,,,159603300.9,180654835.8,491234030.4,997449884.7,469598868.3,681766565.6,217018270.8,537012492.7,2252858825,361503675.6,839280020.3
2022-06-30 16:00:00+00:00,17426.73,28567.81,45820.09,83783.85,105254.8,127487.32,154209.27,189291.84,210132.87,232963.16,267971.3,305447.73,,,124123663.6,297641165.2,1441247073,461001693.9,494284945.6,714062611.8,1230786718,434348531.5,521222141.5,1225569866,1404482806
2022-07-31 16:00:00+00:00,13244.69,32270.29,59550.03,71597.27,88876.82,114770.89,127982.22,161134.63,181512.29,213639.16,241767.52,,,,361973455.4,744184214.5,145135991.6,298582848.2,670502861.2,174539240.4,1099082289,415249027.1,1032135776,791204636.3,
2022-08-31 16:00:00+00:00,12428.34,17529.66,42882.06,57344.37,76427.55,101153.69,128597.64,149905.45,165271.18,206616.26,,,,,26023465.74,642744185.8,209158410.5,364167758.9,611381999.3,753170391.6,454022767,236105658.4,1709415640,,
2022-09-30 16:00:00+00:00,14346.41,35977.12,55172.29,74016.81,104193.56,114528.83,138827.51,150009.26,183544.69,,,,,,467887615.1,368454551.3,355115934,910636240.6,106817806,590425849.7,125031533.1,1124625065,,,
2022-10-31 16:00:00+00:00,17509.94,32745.79,54445.23,85810.02,89353.6,107062.23,138979.27,164660.76,,,,,,,232131125.2,470865696.3,983750051.7,12556959.22,313595576.5,1018697442,659538928.6,,,,
2022-11-30 16:00:00+00:00,12462.19,25337.96,45999.31,52849.04,73781.03,92266.04,120414.24,,,,,,,,165785453.1,426891383.8,46918801.07,438148205.4,341695594.7,792321163.2,,,,,
2022-12-31 16:00:00+00:00,16181.63,27432.85,41735.89,53328.1,72323.26,96229.32,,,,,,,,,126589951.5,204576953.2,134379332.7,360816103.4,571499704.7,,,,,,
2023-01-31 16:00:00+00:00,8667.26,23496.8,41571.83,58648.27,77269.11,,,,,,,,,,219915256.6,326706709.5,291604803.1,346735682.3,,,,,,,
2023-02-28 16:00:00+00:00,15009.44,25872.69,38270.76,61170.28,,,,,,,,,,,118010200.6,153712139.7,524388016.2,,,,,,,,
2023-03-31 16:00:00+00:00,10724.56,23766.31,42583.19,,,,,,,,,,,,170087243.1,354074972.9,,,,,,,,,
2023-04-30 16:00:00+00:00,12099.02,42149.64,,,,,,,,,,,,,903039762.4,,,,,,,,,,
2023-05-31 16:00:00+00:00,5458.14,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,,,,,,,,,,,,,
,factor,2.115585293,1.617054794,1.408640918,1.297834595,1.253897581,1.237320955,1.19538396,1.179273237,1.173422563,1.12712909,1.137749242,,,,,,,,,,,,,
,sigma^2,267814806,355805512.9,418164467.4,445051751.2,534248818.9,722285306.5,767982964.6,968270760.9,2309363285,2130158025,1373816450,,,,,,,,,,,,,
,sigma,16365.04831,18862.80766,20449.07009,21096.2497,23113.82311,26875.36616,27712.50556,31117.04936,48055.83507,46153.63501,37065.03001,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Prediction Part,,,,,,,,,,,,Reserve,,,,,,,,,,,,
,,,,,,,,,,,,275070.8127,33303.29273,,,,,,,,,,,,
,,,,,,,,,,,232883.1971,264962.6811,58346.42113,,,,,,,,,,,,
,,,,,,,,,,215375.4806,242755.9695,276195.4204,92650.73042,,,,,,,,,,,,
,,,,,,,,,194180.0275,227855.2256,256822.2531,292199.3239,127538.5639,,,,,,,,,,,,
,,,,,,,,143941.251,169746.0651,199183.8628,224505.9261,255431.4473,135017.2073,,,,,,,,,,,,
,,,,,,,119066.5541,142330.2489,167846.2534,196954.5809,221993.2376,252572.6379,156343.3179,,,,,,,,,,,,
,,,,,,96887.55014,119880.996,143303.8197,168994.3594,198301.7944,223511.7211,254300.2914,177031.1814,,,,,,,,,,,,
,,,,,79388.90555,99545.55666,123169.8032,147235.2071,173630.5393,203741.9925,229643.5266,261276.7484,200106.4684,,,,,,,,,,,,
,,,,59984.42386,77849.86043,97615.7517,120782.0151,144380.8835,170264.5118,199792.2199,225191.6231,256211.5985,213628.4085,,,,,,,,,,,,
,,,68158.27743,96010.53849,124605.7983,156242.9091,193322.6255,231094.7656,272523.8723,319785.6608,360439.7209,410090.0194,367940.3794,,,,,,,,,,,,
,,11547.16071,18672.39159,26302.69483,34136.54728,42803.73408,52961.9571,63309.87401,74659.64007,87607.30623,98744.74336,112346.757,106888.617,,,,,,,,,,,,
,,,,,,,,,,,,Total,1668794.588,,,,,,,,,,,,
